network,siteId,siteName,status,startDate,stopDate,county,state,latitude,longitude,elevation,stateName,siteClass
NTN,NY43,Rochester,A,2013-04-30,,Monroe,NY,43.1463,-77.5482,136,"New York",U
NTN,NY52,"Bennett Bridge",A,1980-06-10,,Oswego,NY,43.5282,-75.9492,247,"New York",R
NTN,NY67,Ithaca,A,2018-01-02,,Tompkins,NY,42.4014,-76.6589,503,"New York",R
NTN,NY68,"Biscuit Brook",A,1983-10-11,,Ulster,NY,41.9936,-74.5031,634,"New York",I
NTN,NY92,Amherst,A,2013-10-29,,Erie,NY,42.9931,-78.7717,183,"New York",U
NTN,NY93,"Paul Smith's",A,2013-01-01,2023-12-31,Franklin,NY,44.4340,-74.2460,498,"New York",R
NTN,NY94,"Nick's Lake",A,2015-11-03,,Herkimer,NY,43.6833,-74.9833,525,"New York",I
NTN,NY96,"Cedar Beach-Southold",A,2003-11-25,,Suffolk,NY,41.0347,-72.3891,1,"New York",R
NTN,NY98,"Whiteface Mountain",A,1984-07-03,,Essex,NY,44.3933,-73.8594,610,"New York",I
NTN,NY99,"West Point",A,1983-09-13,,Orange,NY,41.3511,-74.0484,211,"New York",S
NTN,OH09,Oxford,A,1984-08-14,,Butler,OH,39.5309,-84.7238,284,Ohio,R
NTN,OH17,Delaware,A,1978-10-03,,Delaware,OH,40.3555,-83.0661,285,Ohio,R
NTN,OH49,Caldwell,A,1978-09-26,,Noble,OH,39.7928,-81.5311,276,Ohio,R
NTN,OH71,Wooster,A,1978-09-26,,Wayne,OH,40.7813,-81.9197,308,Ohio,R
NTN,OK00,"Salt Plains National Wildlife Refuge",A,1983-12-13,,Alfalfa,OK,36.7863,-98.1800,344,Oklahoma,I
NTN,OK01,"McGee Creek",A,2023-03-14,,Atoka,OK,34.3154,-95.8893,195,Oklahoma,I
NTN,OK29,"Goodwell Research Station",A,1985-01-08,,Texas,OK,36.5908,-101.6175,999,Oklahoma,I
NTN,OR07,"Burns Sagebrush",A,2021-08-03,,Harney,OR,43.4712,-119.6909,1398,Oregon,I
NTN,OR10,"H. J. Andrews Experimental Forest",A,1980-05-13,,Lane,OR,44.2118,-122.2560,443,Oregon,I
NTN,OR18,"Starkey Experimental Forest",A,1984-03-06,,Union,OR,45.2247,-118.5130,1254,Oregon,I
NTN,OR97,"Hyslop Farm",A,1983-04-26,,Benton,OR,44.6347,-123.1900,69,Oregon,S
NTN,PA00,Arendtsville,A,1999-01-26,,Adams,PA,39.9231,-77.3078,269,Pennsylvania,R
NTN,PA13,"Allegheny Portage Railroad National Historic Site",A,2011-07-26,,Cambria,PA,40.4570,-78.5600,739,Pennsylvania,S
NTN,PA15,"Penn State",A,1983-06-07,,Centre,PA,40.7883,-77.9458,393,Pennsylvania,S
NTN,PA18,"Young Woman's Creek",A,1999-04-20,,Clinton,PA,41.4142,-77.6799,272,Pennsylvania,I
NTN,PA29,"Kane Experimental Forest",A,1978-07-18,,Elk,PA,41.5978,-78.7675,618,Pennsylvania,R
NTN,PA42,"Leading Ridge",A,1979-04-25,,Huntingdon,PA,40.6575,-77.9397,287,Pennsylvania,R
